,Crime,Severity,Latitude,Longitude,Day,Hour
3885,LARCENY,1,37.853665,-122.252715,Friday,23
3886,MOTOR VEHICLE THEFT,6,37.857637,-122.266803,Thursday,16
3887,BURGLARY - RESIDENTIAL,8,37.874355,-122.298415,Tuesday,2
3888,ASSAULT,4,37.850508,-122.286213,Saturday,16
3889,MOTOR VEHICLE THEFT,6,37.871689,-122.292898,Wednesday,8
3890,MOTOR VEHICLE THEFT,6,37.857502,-122.290845,Tuesday,8
3891,LARCENY,1,37.867852,-122.258699,Thursday,22
3892,BURGLARY - VEHICLE,2,37.867513,-122.26127,Thursday,19
3893,VANDALISM,5,37.867513,-122.26127,Wednesday,13
3894,LARCENY,1,37.868164,-122.256314,Friday,6
3895,BURGLARY - VEHICLE,2,37.868667,-122.313656,Sunday,17
3896,ASSAULT,4,37.850541,-122.286037,Saturday,23
3897,LARCENY,1,37.880228,-122.295798,Thursday,15
3898,BURGLARY - RESIDENTIAL,8,37.863977,-122.267307,Saturday,13
3899,LARCENY,1,37.877417,-122.300713,Sunday,5
3900,ASSAULT,4,37.872231,-122.29677,Thursday,7
3901,FRAUD,7,37.856755,-122.255249,Thursday,10
3902,MOTOR VEHICLE THEFT,6,37.868263,-122.296013,Sunday,6
3903,DRUG VIOLATION,10,37.88024,-122.306387,Sunday,16
3904,MISSING PERSON,16,37.847682,-122.279381,Tuesday,0
3905,LARCENY - FROM VEHICLE,13,37.868263,-122.296013,Friday,18
3906,LARCENY,1,37.857437,-122.268263,Wednesday,19
3907,FRAUD,7,37.854967,-122.271208,Monday,12
3908,BURGLARY - RESIDENTIAL,8,37.888053,-122.253497,Monday,0
3909,ROBBERY,9,37.867822,-122.266003,Sunday,0
3910,LARCENY,1,37.854833,-122.279839,Monday,16
3911,VANDALISM,5,37.878423,-122.269023,Thursday,7
3912,DRUG VIOLATION,10,37.852211,-122.286336,Tuesday,20
3913,BURGLARY - RESIDENTIAL,8,37.869113,-122.250903,Wednesday,3
3914,BURGLARY - VEHICLE,2,37.863443,-122.256304,Sunday,19
3915,LARCENY,1,37.868722,-122.259123,Thursday,15
3916,LARCENY,1,37.862927,-122.258784,Saturday,10
3917,LARCENY,1,37.876307,-122.268923,Saturday,9
3918,WEAPONS OFFENSE,14,37.867852,-122.258699,Wednesday,23
3919,BURGLARY - VEHICLE,2,37.872691,-122.270741,Thursday,20
3920,MOTOR VEHICLE THEFT,6,37.868957,-122.254552,Monday,21
3921,MOTOR VEHICLE THEFT,6,37.882945,-122.295648,Monday,19
3922,FRAUD,7,37.88024,-122.269235,Tuesday,8
3923,BURGLARY - VEHICLE,2,37.86331,-122.316113,Monday,10
3925,ROBBERY,9,37.878935,-122.293437,Thursday,13
3926,BURGLARY - VEHICLE,2,37.870185,-122.299609,Saturday,17
3927,DRUG VIOLATION,10,37.86542,-122.25618,Tuesday,16
3928,FRAUD,7,37.867209,-122.256554,Sunday,14
3929,FRAUD,7,37.860768,-122.278249,Monday,12
3930,LARCENY,1,37.858518,-122.288665,Wednesday,15
3931,LARCENY,1,37.857001,-122.291858,Saturday,15
3932,DRUG VIOLATION,10,37.866265,-122.305592,Friday,20
3933,DISORDERLY CONDUCT,3,37.874557,-122.277936,Sunday,11
3934,BURGLARY - VEHICLE,2,37.863646,-122.262822,Sunday,19
3935,VANDALISM,5,37.853665,-122.252715,Friday,13
3936,LARCENY,1,37.864444,-122.298896,Wednesday,9
3937,ROBBERY,9,37.872725,-122.277729,Thursday,21
3938,LARCENY,1,37.867601,-122.267718,Sunday,4
3939,MOTOR VEHICLE THEFT,6,37.877181,-122.258466,Thursday,23
